Date,EURUSD
19990104,1.1789
19990105,1.179
19990106,1.1743
19990107,1.1632
19990108,1.1659
19990111,1.1569
19990112,1.152
19990113,1.1744
19990114,1.1653
19990115,1.1626
19990118,1.1612
19990119,1.1616
19990120,1.1575
19990121,1.1572
19990122,1.1567
19990125,1.1584
19990126,1.1582
19990127,1.1529
19990128,1.141
19990129,1.1384
19990201,1.1338
19990202,1.1337
19990203,1.1337
19990204,1.1263
19990205,1.1292
19990208,1.1246
19990209,1.1333
19990210,1.1342
19990211,1.1312
19990212,1.1244
19990215,1.1238
19990216,1.1176
19990217,1.1253
19990218,1.1232
19990219,1.1163
19990222,1.0992
19990223,1.0969
19990224,1.1037
19990225,1.1031
19990226,1.1018
19990301,1.0986
19990302,1.0887
19990303,1.0899
19990304,1.0866
19990305,1.0834
19990308,1.0908
19990309,1.0863
19990310,1.0953
19990311,1.0891
19990312,1.0932
19990315,1.0949
19990316,1.0901
19990317,1.0966
19990318,1.1012
19990319,1.0915
19990322,1.0864
19990323,1.0896
19990324,1.0928
19990325,1.0898
19990326,1.0815
19990329,1.0692
19990330,1.0711
19990331,1.0742
19990401,1.0772
19990402,1.0772
19990405,1.0752
19990406,1.0726
19990407,1.0812
19990408,1.0818
19990409,1.0778
19990412,1.0867
19990413,1.0765
19990414,1.0787
19990415,1.0786
19990416,1.0668
19990419,1.0636
19990420,1.0646
19990421,1.0586
19990422,1.0581
19990423,1.0634
19990426,1.0614
19990427,1.063
19990428,1.0666
19990429,1.0604
19990430,1.0597
19990503,1.0589
19990504,1.0564
19990505,1.0667
19990506,1.0799
19990507,1.0786
19990510,1.0735
19990511,1.0732
19990512,1.0645
19990513,1.0622
19990514,1.0676
19990517,1.0685
19990518,1.069
19990519,1.0634
19990520,1.0639
19990521,1.0572
19990524,1.0585
19990525,1.0627
19990526,1.0535
19990527,1.0473
19990528,1.0479
19990531,1.0456
19990601,1.0434
19990602,1.0382
19990603,1.0382
19990604,1.0315
19990607,1.0316
19990608,1.0385
19990609,1.0466
19990610,1.0474
19990611,1.0474
19990614,1.0437
19990615,1.0392
19990616,1.0345
19990617,1.034
19990618,1.0388
19990621,1.0339
19990622,1.0313
19990623,1.028
19990624,1.0321
19990625,1.0443
19990628,1.0388
19990629,1.0364
19990630,1.0328
19990701,1.0264
19990702,1.0241
19990705,1.0232
19990706,1.0221
19990707,1.0222
19990708,1.0182
19990709,1.0204
19990712,1.0124
19990713,1.0183
19990714,1.0168
19990715,1.0201
19990716,1.0202
19990719,1.0146
19990720,1.041
19990721,1.0462
19990722,1.0499
19990723,1.0496
19990726,1.0698
19990727,1.0627
19990728,1.0603
19990729,1.068
19990730,1.0694
19990802,1.0665
19990803,1.0645
19990804,1.0761
19990805,1.0791
19990806,1.074
19990809,1.0705
19990810,1.0737
19990811,1.0668
19990812,1.0638
19990813,1.0667
19990816,1.0553
19990817,1.0527
19990818,1.0517
19990819,1.0517
19990820,1.0667
19990823,1.0606
19990824,1.0512
19990825,1.0433
19990826,1.0452
19990827,1.045
19990830,1.0454
19990831,1.0573
19990901,1.0613
19990902,1.0662
19990903,1.0682
19990906,1.0594
19990907,1.0565
19990908,1.0613
19990909,1.0592
19990910,1.052
19990913,1.0342
19990914,1.0362
19990915,1.0369
19990916,1.0372
19990917,1.0397
19990920,1.0406
19990921,1.0388
19990922,1.0509
19990923,1.043
19990924,1.0476
19990927,1.0414
19990928,1.0483
19990929,1.0563
19990930,1.0665
19991001,1.0728
19991004,1.0719
19991005,1.0686
19991006,1.0737
19991007,1.0729
19991008,1.0657
19991011,1.0631
19991012,1.0668
19991013,1.0778
19991014,1.0758
19991015,1.0869
19991018,1.0868
19991019,1.0818
19991020,1.0777
19991021,1.0797
19991022,1.0758
19991025,1.0683
19991026,1.0633
19991027,1.0552
19991028,1.0534
19991029,1.0453
19991101,1.0572
19991102,1.0507
19991103,1.0491
19991104,1.0504
19991105,1.0408
19991108,1.0405
19991109,1.0424
19991110,1.0402
19991111,1.0406
19991112,1.0308
19991115,1.0301
19991116,1.0336
19991117,1.0408
19991118,1.038
19991119,1.0279
19991122,1.0311
19991123,1.0315
19991124,1.0215
19991125,1.0194
19991126,1.0101
19991129,1.0077
19991130,1.0097
19991201,1.0091
19991202,1.0057
19991203,1.0015
19991206,1.0182
19991207,1.0239
19991208,1.0236
19991209,1.0175
19991210,1.0141
19991213,1.0128
19991214,1.0038
19991215,1.0021
19991216,1.0146
19991217,1.0128
19991220,1.0096
19991221,1.0084
19991222,1.0074
19991223,1.0089
19991224,1.0142
19991227,1.0134
19991228,1.0089
19991229,1.0072
19991230,1.0046
19991231,
20000103,1.009
20000104,1.0305
20000105,1.0368
20000106,1.0388
20000107,1.0284
20000110,1.0229
20000111,1.0256
20000112,1.0308
20000113,1.0276
20000114,1.0225
20000117,1.0094
20000118,1.0093
20000119,1.0105
20000120,1.0089
20000121,1.0097
20000124,1.0027
20000125,1.0008
20000126,1.0019
20000127,0.9976
20000128,0.9848
20000131,0.9791
20000201,0.971
20000202,0.9717
20000203,0.9748
20000204,0.9835
20000207,0.9767
20000208,0.9903
20000209,0.9934
20000210,0.9868
20000211,0.9801
20000214,0.9867
20000215,0.9778
20000216,0.9804
20000217,0.9919
20000218,0.9857
20000221,0.9857
20000222,1.0022
20000223,1.0068
20000224,0.9898
20000225,0.9813
20000228,0.9639
20000229,0.9714
20000301,0.9667
20000302,0.9725
20000303,0.9659
20000306,0.964
20000307,0.9593
20000308,0.9543
20000309,0.9616
20000310,0.9613
20000313,0.9716
20000314,0.962
20000315,0.9647
20000316,0.9663
20000317,0.9672
20000320,0.9715
20000321,0.9701
20000322,0.9603
20000323,0.9656
20000324,0.9715
20000327,0.9712
20000328,0.9647
20000329,0.9568
20000330,0.9555
20000331,0.9553
20000403,0.9564
20000404,0.9538
20000405,0.9673
20000406,0.9625
20000407,0.9564
20000410,0.959
20000411,0.9594
20000412,0.9576
20000413,0.9537
20000414,0.954
20000417,0.9573
20000418,0.9497
20000419,0.9461
20000420,0.9376
20000421,
20000424,
20000425,0.9302
20000426,0.9193
20000427,0.9163
20000428,0.9085
20000501,
20000502,0.9116
20000503,0.8913
20000504,0.8947
20000505,0.8984
20000508,0.8952
20000509,0.8978
20000510,0.9107
20000511,0.9079
20000512,0.9029
20000515,0.9147
20000516,0.9065
20000517,0.8922
20000518,0.8942
20000519,0.8875
20000522,0.9
20000523,0.9111
20000524,0.9098
20000525,0.8981
20000526,0.9143
20000529,0.9262
20000530,0.9359
20000531,0.9303
20000601,0.933
20000602,0.9355
20000605,0.9433
20000606,0.9485
20000607,0.9554
20000608,0.9668
20000609,0.949
20000612,0.9527
20000613,0.9583
20000614,0.9636
20000615,0.9524
20000616,0.9565
20000619,0.964
20000620,0.9538
20000621,0.947
20000622,0.9405
20000623,0.9413
20000626,0.9327
20000627,0.9401
20000628,0.9415
20000629,0.9504
20000630,0.9556
20000703,0.9493
20000704,0.9487
20000705,0.9537
20000706,0.9542
20000707,0.9483
20000710,0.9523
20000711,0.9527
20000712,0.9499
20000713,0.9349
20000714,0.9344
20000717,0.9352
20000718,0.9353
20000719,0.9216
20000720,0.922
20000721,0.9363
20000724,0.9332
20000725,0.941
20000726,0.939
20000727,0.9389
20000728,0.9276
20000731,0.9243
20000801,0.9264
20000802,0.9142
20000803,0.9028
20000804,0.9031
20000807,0.9084
20000808,0.9047
20000809,0.8973
20000810,0.9031
20000811,0.9132
20000814,0.9011
20000815,0.9118
20000816,0.9072
20000817,0.914
20000818,0.9127
20000821,0.9023
20000822,0.8972
20000823,0.8918
20000824,0.9012
20000825,0.9021
20000828,0.9007
20000829,0.8965
20000830,0.8909
20000831,0.8906
20000901,0.8902
20000904,0.9
20000905,0.8886
20000906,0.8818
20000907,0.8676
20000908,0.8735
20000911,0.8609
20000912,0.8614
20000913,0.8654
20000914,0.8693
20000915,0.8615
20000918,0.8526
20000919,0.8541
